SKU,Name,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source
CD65000082A4B26PH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-low-rise-condo-unit-for-sale-in-kawit-cavite-w-170417444982/
CD65F2D2FB2808EPH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-2f-condo-unit-for-sale-in-bucandala-iv-171046433748/
CD66475144385A7PH,ONE LANCASTER PARK,1,0,1,1,1,1,1,1,1,https://www.lamudi.com.ph/projects/one-lancaster-park/prime-pre-selling-condo-units-in-cavite-for-as-low-171595087550/
CD65D7FFD5AEFFEPH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/1br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781646/
CD65D7FFCF00BF3PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-at-gar-170865781478/
CD65D7FFD38C1AEPH,GARDEN CITY,3,3,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/3br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781968/
CD65E5A27A6F70DPH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-gf-condo-unit-for-sale-in-bucandala-iv-i-171046365519/
CD65F2D2FBE15BEPH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-5f-condo-unit-for-sale-in-bucandala-iv-i-171046433768/
CD650000873C4E3PH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-w-balcony-low-rise-condo-unit-for-sale-in-kawi-170417444580/
CD65F2D2FC6E6F7PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-6f-condo-unit-for-sale-in-bucandala-iv-i-171046433567/
CD5F6C191EBB985PH,SERIN EAST TAGAYTAY,2,2,2,1,1,1,0,1,2,https://www.lamudi.com.ph/new-developments/serin-east-tagaytay/2-bedroom-condo-unit-for-sale-at-serin-east-tagayt-168180888257/
CD650000812BDC1PH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-w-balcony-low-rise-condo-unit-for-sale-in-imus-170417444748/
CD65F2D2FBF055CPH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-5f-condo-unit-for-sale-in-bucandala-iv-i-171046433857/
CD65F2D2FC4D075PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-5f-condo-unit-for-sale-in-bucandala-iv-17104643356/
CD64A28DC9A8927PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-studio-condo-unit-for-sale-in-bacoor-cav-170859542738/
CD6503D3F473AB1PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-studio-condo-unit-for-sale-in-bacoor-cav-170859543213/
CD64A28DCE3AA4DPH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170859375168/
CD65D7FFCEF0A3FPH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781770/
CD657002BE32007PH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-2br-condo-unit-in-bacoor-cavite-at-garden-170859542937/
CD657002BE064F2PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-studio-condo-unit-for-sale-in-bacoor-cav-170859542665/
CD5F6C191E463C9PH,SERIN EAST TAGAYTAY,1,1,2,1,1,1,0,2,3,https://www.lamudi.com.ph/new-developments/serin-east-tagaytay/1-bedroom-condo-unit-for-sale-at-serin-east-tagayt-168180888134/
CD6500021EA3A76PH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/studio-low-rise-condo-unit-for-sale-in-kawit-cavit-170417445387/
CD65E5A27A15EC8PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-gf-condo-unit-for-sale-in-bucandala-iv-i-171046365728/
CD657002B68155BPH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-at-gar-170859543515/
CD6503D3FA5C37APH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-2br-condo-unit-for-sale-in-bacoor-cavite-170859542960/
CD6503D3F7CDEBFPH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-executive-2br-condo-unit-in-bacoor-cavite-170859542351/
CD64A28B5BF2DC7PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-at-gar-170859374553/
CD64C24798E1634PH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-low-rise-condo-unit-for-sale-in-general-trias-170417444696/
CD64FFFD5A8A831PH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/studio-low-rise-condo-unit-for-sale-in-imus-cavite-170417444872/
CD65D7FFD1419C4PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-at-gar-170865782559/
CD657002C0F0C5BPH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-studio-condo-unit-for-sale-in-bacoor-cav-170859543045/
CD65D7FFD7976FCPH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781294/
CD64C245F53EE2EPH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/studio-low-rise-condo-unit-for-sale-in-general-tri-170417444786/
CD65000214C0BE0PH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-low-rise-condo-unit-for-sale-in-imus-cavite-we-170417444571/
CD65F2D2FCD1E58PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-2f-condo-unit-for-sale-in-bucandala-iv-i-171046433475/
CD65F2D2FB9C1A5PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-3f-condo-unit-for-sale-in-bucandala-iv-17104643396/
CD65F2D2FB20212PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-7f-condo-unit-for-sale-in-bucandala-iv-171046433924/
CD65D7FFD161F40PH,GARDEN CITY,3,3,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/3br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781285/
CD64A28DD2B8FE6PH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-2br-condo-unit-for-sale-in-bacoor-cavite-170859542768/
CD6503D3F7A52A5PH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-garden-ci-170859543293/
CD6503D3FD57948PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-studio-condo-unit-in-bacoor-cavite-at-gar-170859543553/
CD65D7FFD34F8B9PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/1br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865782231/
CD657002BB7EF84PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-studio-condo-unit-in-bacoor-cavite-at-gar-170859542788/
CD657002B908040PH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170859542368/
CD657002B8EB1C3PH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-garden-170859542871/
CD657002B683CDBPH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-executive-studio-condo-unit-in-bacoor-cav-170859542391/
CD64C248C73EED7PH,WESTWIND AT LANCASTER NEW CITY,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-w-balcony-low-rise-condo-unit-for-sale-in-gene-170417445052/
CD65F2D2FB8D26BPH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-4f-condo-unit-for-sale-in-bucandala-iv-i-17104643380/
CD65F2D2FC015F3PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-4f-condo-unit-for-sale-in-bucandala-iv-171046433590/
CD65F2D2FC46CBCPH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-6f-condo-unit-for-sale-in-bucandala-iv-i-171046433576/
CD65F2D2FCAA7F9PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-6f-condo-unit-for-sale-in-bucandala-iv-171046433781/
CD65F2D2FB8DF2CPH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-2f-condo-unit-for-sale-in-bucandala-iv-i-171046433951/
CD65E54678E5B3FPH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-gf-condo-unit-for-sale-in-bucandala-iv-171046366076/
CD65F2D2FB252F2PH,AVIANA,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-3f-condo-unit-for-sale-in-bucandala-iv-i-171046433848/
CD5F6C191E83C06PH,SERIN EAST TAGAYTAY,1,1,2,2,1,1,0,2,3,https://www.lamudi.com.ph/new-developments/serin-east-tagaytay/studio-condo-unit-for-sale-at-serin-east-tagaytay-171715459357/
CD6503D3F0D82CCPH,GARDEN CITY,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-executive-studio-condo-unit-in-bacoor-cav-170859542313/
CD657002BBD964APH,GARDEN CITY,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-garden-ci-17085954248/
,0,0,0,0,0,0,0,0,0,0,
CD6614A37C19250PH,SERIN EAST TAGAYTAY,1,1,2,3,2,1,1,2,4,https://www.lamudi.com.ph/buy/cavite/tagaytay/1-bedrooms-1-toilets-condotel-brand-new-unit-in-ea-17182096139/
CD64A04C394643FPH,GREEN 2 RESIDENCES,1,1,0,1,1,1,1,1,2,https://www.lamudi.com.ph/projects/green-2-residences/studio-non-vat-unit-for-sale-at-green-residences-2-172066166499/
CD6191C21CD16A1PH,ALEA RESIDENCES,2,1,0,1,1,1,1,2,3,https://www.lamudi.com.ph/projects/alea-residences/alea-residences-bacoor-2-bedroom-unit-rush-sale-ne-171213553644/
CD664C145B80E04PH,THE ONE TAGAYTAY,1,1,0,3,1,1,1,2,3,https://www.lamudi.com.ph/projects/one-tagaytay-place-hotel-suites/condotel-unit-for-sale-in-one-tagatay-171636560895/
CD669E00EF15189PH,WIND RESIDENCES,1,1,2,0,1,1,0,1,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/for-sale-1-bedroom-condominum-fully-furnished-at-s-172163095955/
CD665B12458372BPH,SERIN EAST TAGAYTAY,1,1,0,0,1,1,0,1,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/tagaytay-condo-ayala-serin-east-rush-sale-pasalo-171724448547/
CD6635E902EF8DEPH,ALPINE VILLAS,1,1,2,0,1,1,1,1,1,https://www.lamudi.com.ph/projects/alpine-villas/rfo-1br-68-44-sqm-condo-unit-at-alpine-villas-biel-171480909040/
CD65E5815315D46PH,CROSSWINDS,1,1,0,2,0,1,1,0,0,https://www.lamudi.com.ph/projects/crosswinds/for-sale-fully-furnished-1-bedroom-unit-at-crosswi-172233170063/
CD65C06D9D04C10PH,LA BELLA TAGAYTAY,1,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/projects/la-bella-tagaytay/tagaytay-condominium-unit-for-sale-171090984927/
CD668B92A003829PH,LAKEVIEW SUITES,3,0,1,2,1,1,1,2,2,https://www.lamudi.com.ph/buy/cavite/tagaytay/the-lakeview-resort-3bedrooms-172082245859/
CD663B5CA88A44FPH,LAMORE AT MICARA ESTATES,2,1,2,1,1,1,1,0,2,https://www.lamudi.com.ph/buy/cavite/tanza/invest-now-in-lamore-condominium-just-8k-monthly-171516637619/
CD668B93B0297E6PH,LAKEVIEW SUITES,4,0,1,1,1,1,1,1,1,https://www.lamudi.com.ph/buy/cavite/tagaytay/the-lakeview-resort-4-bedrooms-d-302-172096558262/
CD64B2430093612PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,3,3,2,3,2,1,0,2,2,https://www.lamudi.com.ph/projects/the-woodridge-at-tagaytay-highlands/tagaytay-highlands-mountain-view-3-bedroom-condo-w-172248801430/
CD651B7C85E017BPH,WESTWIND AT LANCASTER NEW CITY,1,1,2,0,1,1,1,2,1,https://www.lamudi.com.ph/buy/cavite/general-trias/low-rise-condominium-inside-lancaster-cavite-for-s-169641441073/
CD663C89D6242CDPH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,4,4,0,0,0,1,0,0,0,https://www.lamudi.com.ph/projects/woodridge-place-at-tagaytay-highlands/4-bedroom-4-br-condo-unit-for-sale-in-woodridge-pl-171595940813/
CD65FA62CEE7976PH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,3,4,2,2,1,1,1,0,1,https://www.lamudi.com.ph/projects/woodridge-place-at-tagaytay-highlands/3-bedroom-penthouse-unit-for-sale-in-woodridge-tag-17109081109/
HO5F3214BC0896BPH,AMARIS HOMES - BACOOR,1,0,0,0,0,0,0,0,0,https://www.lamudi.com.ph/projects/amaris-homes-bacoor-1/l-th-1-156-acquired-property-for-sale-in-lots-18-20-block-32-road-lot-33-amaris-homes-brgy-molino-bacoor-city-cavite-retail/
CD66614E0CA448CPH,HORIZON TERRACES,1,1,2,1,1,1,1,0,4,https://www.lamudi.com.ph/buy/cavite/tagaytay/1-br-rfo-with-taal-view-171765300481/
CD64E425B1B8A49PH,HOPE RESIDENCES,1,1,0,1,1,1,1,1,0,https://www.lamudi.com.ph/projects/hope-residences/flexi-suite-unit-for-sale-at-hope-residences-in-tr-169267345764/
CD63BD57F1C8EB7PH,WIND RESIDENCES,0,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/l-r-2-67-acquired-property-condo-for-sale-in-unit-167335320197/
CD667D3E4DD5CA2PH,ONE LANCASTER PARK,2,1,1,0,1,1,1,1,2,https://www.lamudi.com.ph/buy/cavite/imus/p17k-90-17194839818/
CD66A6B28109D80PH,WESTWIND AT LANCASTER NEW CITYY,1,1,2,1,1,1,1,0,3,https://www.lamudi.com.ph/buy/cavite/general-trias/pre-selling-westwind-at-lancaster-gentri-cavite-st-172220070579/
CD66A227602B3B6PH,SENTRIA STOREY VERMOSA,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/imus/1-br-condo-w-balcony-sentria-vermosa-cavite-ayalam-172190294410/
CD66A9F61674D52PH,SERIN EAST TAGAYTAY,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/live-every-day-like-a-vacation-at-serin-east-tagay-172241461493/
CD66A9492B5BF91PH,0,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/serin-east-tagaytay-where-tranquility-meets-ayala-172237034738/
CD64D8A7A826E3APH,KASA LUNTIAN,1,1,0,0,0,1,1,0,2,https://www.lamudi.com.ph/projects/kasa-luntian-1/condo-studio-unit-for-sale-at-kasa-luntian-tagayta-171222453034/
CD65C9CAC928BDAPH,WIND RESIDENCES,1,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/l-r-2-87-acquired-property-condo-for-sale-in-unit-170772346545/
CD66A21E6C53612PH,0,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/imus/sentria-storey-vermosa-campus-town-near-de-la-sall-172190065239/
CD66A94382EE62DPH,SENTRIA STOREY VERMOSA,1,1,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/imus/1bedroom-setria-storey-vermosa-condo-inside-vermos-172236889836/
CD65E43ED335C4FPH,SERIN EAST TAGAYTAY,1,1,2,1,1,0,0,2,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/pre-selling-one-bedroom-in-serin-east-tagaytay-tow-171893422840/
CD629AF734E914FPH,TERRACES AT TRADIZO,2,1,2,0,1,1,1,1,1,https://www.lamudi.com.ph/projects/terraces-at-tradizo/for-sale-rfo-2br-condo-unit-in-imus-cavite-near-aguinaldo-highway-daanghari/
CD65C9EB73B52DCPH,WIND RESIDENCES,0,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/l-r-2-85-acquired-property-condo-for-sale-in-unit-170773182742/
CD63BD57F06E2BBPH,WIND RESIDENCES,0,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/l-r-2-69-acquired-property-condo-for-sale-in-unit-167335320049/
CD6561D135A6E07PH,WIND RESIDENCES,3,0,1,1,0,0,1,0,1,https://www.lamudi.com.ph/projects/wind-residences/sale-tagaytay-penthouse-with-a-view-of-the-taal-la-171259052499/
CD64B3E96B6619EPH,ALPINE VILLAS,1,0,0,0,0,1,1,1,1,https://www.lamudi.com.ph/projects/alpine-villas/luxury-leisure-property-in-tagaytay-city-1br-with-17007100062/
CD65C9CAC7B62A9PH,SERIN WEST TAGAYTAY,1,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/l-r-2-86-acquired-property-condo-for-sale-in-unit-170772346399/
CD63BD57F122EA3PH,WIND RESIDENCES,0,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/l-r-2-66-acquired-property-condo-for-sale-in-unit-167335320196/
CD66A6877668FF2PH,ZEAL RESIDENCES,1,1,2,0,1,1,1,1,2,https://www.lamudi.com.ph/buy/cavite/general-trias/pre-selling-smdc-zeal-condo-unit-across-robinsons-172218968674/
CD665A8DE874F3CPH,LAMORE AT MICARA ESTATES,1,1,1,0,1,1,1,2,1,https://www.lamudi.com.ph/buy/cavite/general-trias/preselling-affordable-1br-28-38-sqm-lamore-condo-v-17172106001/
CD664C3955E5079PH,SERIN EAST TAGAYTAY,1,1,0,0,0,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/serin-east-tagaytay-rfo-pre-selling-condominium-re-17180333910/
CD66544BC7E4776PH,0,1,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/trece-martires/flexi-suite-unit-convertible-to-1br-or-2br-171680045598/
